"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ASNSD1",0.073455365866549,0.41761144294267,0.293,0.182,1
"HEIH",0.0734806627769377,0.583905193938114,0.464,0.364,1
"TOPORS",0.0735805077990093,0.454693699630634,0.571,0.489,1
"COQ10B",0.0737018666046477,0.3107832768254,0.65,0.545,1
"PLCL1",0.0737384454104699,0.593183007526125,0.264,0.159,1
"LY75",0.0738028648073625,0.46259889771598,0.286,0.17,1
"RRP12",0.0738631458788888,0.330148601692331,0.343,0.227,1
"ARL16",0.0739724142811957,-0.324354832281902,0.493,0.625,1
"UBE2D1",0.0741147060989177,0.522793679634727,0.457,0.341,1
"ARIH1",0.0742704419515668,0.252146089691058,0.721,0.659,1
"FKBP14",0.0742768885928072,0.290620237505693,0.35,0.227,1
"TM9SF1",0.0743594730280823,0.314207057823309,0.743,0.682,1
"IQCB1",0.0743668560455479,0.578076115135916,0.314,0.205,1
"CDC23",0.0744796651025134,0.330148601692331,0.257,0.148,1
"SPATA13",0.0746594498582911,0.426363916951634,0.321,0.216,1
"GRB2",0.0747213498973902,0.505022819106377,0.707,0.625,1
"SMPDL3B",0.0747454992095847,0.330148601692331,0.386,0.261,1
"BAZ2B",0.0748021941741375,-0.457547794594805,0.45,0.557,1
"SUPT5H",0.0749166686531369,0.581110175225549,0.479,0.386,1
"ICE2",0.0752126266217666,0.330148601692331,0.379,0.25,1
"UTP6",0.0752341987224654,0.384596385714707,0.307,0.193,1
"PPP6C",0.0752456962820046,0.402298387448166,0.45,0.33,1
"SINHCAF",0.0752733326624001,0.66456764076289,0.271,0.17,1
"EBLN3P",0.0753640735339269,0.336518126568058,0.771,0.727,1
"KNOP1",0.0755324007301803,-0.290003327491125,0.464,0.625,1
"SMURF1",0.075639816137501,0.299774952648812,0.286,0.17,1
"ARHGAP45",0.0758406907995048,0.71919089243823,0.293,0.193,1
"ADNP2",0.0758483341872115,0.330148601692331,0.314,0.193,1
"HSBP1",0.075950433637406,-0.260460462169967,1,0.989,1
"PCMTD2",0.0761601118747808,0.400537929583729,0.364,0.25,1
"FRY",0.0762484505710028,0.46259889771598,0.321,0.205,1
"PLEKHJ1",0.0766376811560014,0.395104043533101,0.686,0.67,1
"CCDC30",0.0766603881848657,0.562809358482606,0.264,0.159,1
"TBC1D10A",0.076898363167853,0.408151113693604,0.443,0.33,1
"CLN6",0.0772706745954432,0.461393134970584,0.271,0.159,1
"SLC49A4",0.0772878749797942,0.479011987606814,0.279,0.17,1
"FAAH2",0.0773825377828559,0.702117379079289,0.257,0.159,1
"CKS2",0.0774155242791087,0.74595328792937,0.829,0.83,1
"RAB17",0.0775502636499418,-0.593902545074371,0.393,0.511,1
"ZNF518A",0.0775556954262956,0.437063805608843,0.321,0.205,1
"RRP36",0.0775991208497884,0.409875794163065,0.471,0.375,1
"GAPVD1",0.0776217472078564,0.379058202173277,0.329,0.216,1
"SND1",0.0776426935309375,0.31384678936323,0.707,0.625,1
